scale, offset, width, units,Output,Input->,5555
0.25,-200,12,Nm,1188.75,,
0.25,-500,13,Nm,888.75,,
0.25,0,13,Nm,1388.75,,
0.5,0,8,Nm,2777.5,,
0.5,-1023.5,12,Nm,1754,,
0.5,-848,12,Nm,1929.5,,
0.5,-5,12,Nm,2772.5,,
0.5,0,12,Nm,2777.5,,
1,0,1,Nm,5555,,
1,-155,8,Nm,5400,,
1,-100,8,Nm,5455,,
1,0,8,NM,5555,,
1,-512,10,Nm,5043,,
1,-1023,11,Nm,4532,,
1,-500,11,Nm,5055,,
1,0,11,Nm,5555,,
1,0,12,Nm,5555,,
1,-1250,13,Nm,4305,,
1,0,14,Nm,5555,,
1,-32000,16,Nm,-26445,,
1,-10000,16,NM,-4445,,
1,0,16,Nm,5555,,
2,0,9,Nm,11110,,
2,0,11,Nm,11110,,
2,-4095,12,Nm,7015,,
2,0,16,Nm,11110,,
3,0,12,Nm,16665,,
4,0,8,Nm,22220,,
4,0,12,Nm,22220,,
4,-16380,13,Nm,5840,,
4,0,13,Nm,22220,,
4,0,14,Nm,22220,,
4,-131072,16,Nm,-108852,,
8,0,8,Nm,44440,,
8,-12376,13,Nm,32064,,
10,0,6,Nm,55550,,
10,0,7,Nm,55550,,
10,0,8,Nm,55550,,
10,-7767,12,Nm,47783,,
10,0,12,Nm,55550,,
12,0,8,Nm,66660,,
15,-1920,8,Nm,81405,,
15,0,8,Nm,83325,,
25,-3200,8,Nm,135675,,
64,-16384,9,Nm,339136,,
78,0,8,Nm,433290,,
3,-381,8,Nm/min,16284,,
0.0146628,0,10,Nm/ms,81.451854,,
1,0,11,Nm/s,5555,,
10,0,8,Nm/s,55550,,
16,0,6,Nm/s,88880,,
100,-100,4,Nm/s,555400,,
1,0,8,None,5555,,
1,0,11,None,5555,,
1,0,4,None,5555,,
1,0,12,None,5555,,
0.5,0,8,None,2777.5,,
0.0048875,0,10,None,27.1500625,,
0.392157,0,8,None,2178.432135,,
12.5,12.5,3,None,69450,,
1,0,64,None,5555,,
1,0,5,None,5555,,
0.0078125,0,16,None,43.3984375,,
1.00E-07,-180,32,None,-179.9994445,,
1.00E-07,-90,32,None,-89.9994445,,
0.002747,-90,16,None,-74.740415,,
0.005,-81.92,15,None,-54.145,,
0.02,-10.24,10,None,100.86,,
0.025,-3.2,8,None,135.675,,
0.04395,-1440.11,16,None,-1195.96775,,
0.1,-12.7,8,None,542.8,,
0.1,-819.2,14,None,-263.7,,
0.1,-720,16,None,-164.5,,
0.1,0,16,None,555.5,,
0.16,-20.48,8,None,868.32,,
0.2,-20,8,None,1091,,
0.5,-2048,14,None,729.5,,
1,-50,7,None,5505,,
1,0,7,None,5555,,
1,-90,8,None,5465,,
1.416996047,0,8,None,7871.413041,,
0.01,-327.68,16,None,-272.13,,
0.08,-10.24,8,None,434.16,,
0.08,-163.84,12,None,280.56,,
0.5,-4096,14,None,-1318.5,,
1,0,10,None,5555,,
1,-2000,12,None,3555,,
1,-1000,12,None,4555,,
0.75,-48,8,None,4118.25,,
1.5,-768,10,None,7564.5,,
2.5,-720,10,None,13167.5,,
0.05,-6.375,8,None,271.375,,
0.01,0,14,None,55.55,,
1,1,4,None,5556,,
1,-32768,16,None,-27213,,
0.033333333,1,4,None,186.1666648,,
1,0,1,None,5555,,
1,0,2,None,5555,,
1,0,3,None,5555,,
78.125,0,8,None,433984.375,,
0.1,0,8,None,555.5,,
0.125,0,8,None,694.375,,
1,0,6,None,5555,,
1,0,16,None,5555,,
1,0,32,None,5555,,
50,0,8,None,277750,,
0.25,-128,10,None,1260.75,,
0.01,0,16,None,55.55,,
10,500,6,None,56050,,
0.1,-780,16,None,-224.5,,
0.1,-11,8,None,544.5,,
1,-40,8,None,5515,,
0.2,-100,10,None,1011,,
-1,0,16,None,-5555,,
2.00E-08,0,16,None,0.0001111,,
1.00E-05,0,32,None,0.05555,,
1.53E-05,-0.0625,13,None,0.0224915,,
3.05E-05,0,16,None,0.1694275,,
6.10E-05,-1,16,None,-0.661145,,
0.0001,0,16,None,0.5555,,
0.00012207,0,16,None,0.67809885,,
0.000122076,0,16,None,0.67813218,,
0.0002,-6.5,16,None,-5.389,,
0.000488,0,16,None,2.71084,,
0.000488281,0,16,None,2.712400955,,
0.001,0,11,None,5.555,,
0.001,0,14,None,5.555,,
0.001,0,16,None,5.555,,
0.001526,0,16,None,8.47693,,
0.003906,0,15,None,21.69783,,
0.003906248,0,10,None,21.69920764,,
0.00390625,0,10,None,21.69921875,,
0.00390625,0,15,None,21.69921875,,
0.005,0,8,None,27.775,,
0.005,-163.84,16,None,-136.065,,
0.007795276,0,8,None,43.30275818,,
0.0078,0,8,None,43.329,,
0.00781,0,8,None,43.38455,,
0.0078125,0,14,None,43.3984375,,
0.00787,0,8,None,43.71785,,
0.01,0,7,None,55.55,,
0.01,2,9,None,57.55,,
0.01,0,11,None,55.55,,
0.01,-20.48,12,None,35.07,,
0.01,-40.95,13,None,14.6,,
0.01,0,15,None,55.55,,
0.01,-100,16,None,-44.45,,
0.015625,-103,10,None,-16.203125,,
0.015625,-103,16,None,-16.203125,,
0.015625,-1.609375,16,None,85.1875,,
0.019685039,1,8,None,110.3503916,,
0.02,0,6,None,111.1,,
0.025,0,15,None,138.875,,
0.03,0,4,None,166.65,,
0.03,0,16,None,166.65,,
0.03125,0,8,None,173.59375,,
0.0323,0,5,None,179.4265,,
0.035,-17.9,10,None,176.525,,
0.04,-5,8,None,217.2,,
0.04375,0,15,None,243.03125,,
0.05,0,5,None,277.75,,
0.05,0,16,None,277.75,,
0.0618,0,8,None,343.299,,
0.078431,0,8,None,435.684205,,
0.078431373,0,8,None,435.686277,,
0.1,0,4,None,555.5,,
0.1,-1,5,None,554.5,,
0.1,0,6,None,555.5,,
0.1,0,7,None,555.5,,
0.1,0,9,None,555.5,,
0.1,0,10,None,555.5,,
0.1,-204.8,12,None,350.7,,
0.1,-1600,15,None,-1044.5,,
0.1,-1000,15,None,-444.5,,
0.1,0,15,None,555.5,,
0.1,-3200,16,None,-2644.5,,
0.117,0,16,None,649.935,,
0.125,0,2,None,694.375,,
0.125,-50,10,None,644.375,,
0.125,-4096,16,None,-3401.625,,
0.126992032,-656,16,None,49.44073776,,
0.126992032,-83.3,16,None,622.1407378,,
0.2,0,5,None,1111,,
0.2,0,8,None,1111,,
0.249,-31.6,8,None,1351.595,,
0.25,0,16,None,1388.75,,
0.253984064,-328,16,None,1082.881476,,
0.253984064,-83.3,16,None,1327.581476,,
0.375,-35.625,8,None,2047.5,,
0.375,-23.625,8,None,2059.5,,
0.393701,0,8,None,2187.009055,,
0.434783,-5.2174,8,None,2410.002165,,
0.5,0,5,None,2777.5,,
0.5,0,7,None,2777.5,,
0.5,-41,8,None,2736.5,,
0.5,-40,8,None,2737.5,,
0.5,-30,8,None,2747.5,,
0.5,0,12,None,2777.5,,
0.625,0,12,None,3471.875,,
0.66,0,16,None,3666.3,,
0.75,-40,8,None,4126.25,,
0.787402,0,7,None,4374.01811,,
0.9766,0,13,None,5425.013,,
1,1,1,None,5556,,
1,2,1,None,5557,,
1,1,2,None,5556,,
1,-3,3,None,5552,,
1,-7,4,None,5548,,
1,-5,4,None,5550,,
1,1,5,None,5556,,
1,2000,5,None,7555,,
1,-30,6,None,5525,,
1,2000,6,None,7555,,
1,-64,7,None,5491,,
1,2014,7,None,7569,,
1,-127,8,None,5428,,
1,-125,8,None,5430,,
1,-100,8,None,5455,,
1,-60,8,None,5495,,
1,-30,8,None,5525,,
1,-1,8,None,5554,,
1,2000,8,None,7555,,
1,0,9,None,5555,,
1,-512,10,None,5043,,
1,-1024,11,None,4531,,
1,-2048,12,None,3507,,
1,2101248,12,None,2106803,,
1,0,13,None,5555,,
1,0,14,None,5555,,
1,0,15,None,5555,,
1,-32767,16,None,-27212,,
1,-2048,16,None,3507,,
1,-1,16,None,5554,,
1,0,17,None,5555,,
1,0,18,None,5555,,
1,0,19,None,5555,,
1,0,20,None,5555,,
1,0,21,None,5555,,
1,0,22,None,5555,,
1,0,23,None,5555,,
1,0,24,None,5555,,
1,0,25,None,5555,,
1,0,26,None,5555,,
1,0,27,None,5555,,
1,0,28,None,5555,,
1,0,29,None,5555,,
1,0,30,None,5555,,
1,0,31,None,5555,,
1,0,33,None,5555,,
1,0,34,None,5555,,
1,0,35,None,5555,,
1,0,36,None,5555,,
1,0,37,None,5555,,
1,0,39,None,5555,,
1,0,40,None,5555,,
1,0,42,None,5555,,
1,0,43,None,5555,,
1,0,44,None,5555,,
1,0,45,None,5555,,
1,0,46,None,5555,,
1,0,47,None,5555,,
1,0,48,None,5555,,
1,0,50,None,5555,,
1,0,51,None,5555,,
1,0,52,None,5555,,
1,0,53,None,5555,,
1,0,55,None,5555,,
1,0,56,None,5555,,
1,0,57,None,5555,,
1,0,60,None,5555,,
1,0,61,None,5555,,
1,0,62,None,5555,,
1.02,0,8,None,5666.1,,
1.12993,-566,11,None,5710.76115,,
1.417,0,8,None,7871.435,,
2,0,2,None,11110,,
2,-32768,15,None,-21658,,
2,-32768,16,None,-21658,,
3.225,0.025,5,None,17914.9,,
3.333,0,5,None,18514.815,,
4,0,6,None,22220,,
4,0,8,None,22220,,
4,0,13,None,22220,,
4,-131072,16,None,-108852,,
5,0,5,None,27775,,
5,0,8,None,27775,,
5,0,9,None,27775,,
10,0,4,None,55550,,
999,0,4,None,5549445,,
1,32,5,None,5587,,
1,64,5,None,5619,,
1,96,5,None,5651,,
1,56,8,None,5611,,
1,58,8,None,5613,,
1,-200,9,None,5355,,
15,0,8,None,83325,,
21.5686,0,10,None,119813.573,,
2,0,8,None,11110,,
2048,0,14,None,11376640,,
1,-12,5,None,5543,,
1,-32,6,None,5523,,
0.01172,0,12,NW,65.1046,,
0.0469,0,11,NW,260.5295,,
0.001,0,16,Ohm,5.555,,
0.1,0,16,Ohm,555.5,,
0.5,0,12,Ohm,2777.5,,
1,0,10,Ohm,5555,,
10,0,12,Ohm/V,55550,,
0.1,0,16,Pa/s,555.5,,
1,0,16,per byte,5555,,
1,0,32,per byte,5555,,
6.06E-08,0,32,per byte,0.000336633,,
1,0,40,per byte,5555,,
1,0,56,per byte,5555,,
1.02,0,8,per byte,5666.1,,
0.0002,0,16,pix/sec,1.111,,
1,0,8,pounds/inch^2,5555,,
0.05,-200,16,ppm,77.75,,
1,-125,8,ppm,5430,,
1,0,11,ppm,5555,,
1,0,16,ppm,5555,,
1,0,32,ppm,5555,,
0.1,-30,10,PSI,525.5,,
1,0,8,PSI,5555,,
1,0,16,PSI,5555,,
1,0,32,PSI,5555,,
2,0,8,PSI,11110,,
1,0,6,Pulse,5555,,
1,0,8,Pulse,5555,,
1,0,13,Pulse,5555,,
0.5,0,8,Pulse,2777.5,,
1,0,1,Pulse,5555,,
1,1,2,Qtr,5556,,
1000,0,32,r,5555000,,
0.000976547,-31.374,16,rad,-25.94928142,,
0.000976563,-31.374,16,rad,-25.94919254,,
0.002,-0.5,9,rad,10.61,,
0.00625,0,10,rad,34.71875,,
0.000122014,-3.92,16,rad/s,-3.24221223,,
0.00012207,-3.92,16,rad/s,-3.24190115,,
0.0002,-0.82,12,rad/s,0.291,,
0.0002,-6.5,16,rad/s,-5.389,,
0.0002,0,16,rad/s,1.111,,
0.01,0,15,rad/s,55.55,,
0.01,0,16,rad/s,55.55,,
0.04,0,14,rad/s,222.2,,
0.1,0,15,rad/s,555.5,,
1000,0,32,rev,5555000,,
1000,0,16,rev,5555000,,
0.001953125,0,16,Rev/s,10.84960938,,
0.0625,0,16,ml,347.1875,,
0.0078125,0,14,rot,43.3984375,,
0.0078125,0,16,rot,43.3984375,,
0.007813,0,16,rot,43.401215,,
1,350,8,Km,5905,,
1,0,16,Revolutions,5555,,
0.125,0,15,rpm,694.375,,
0.125,0,16,rpm,694.375,,
0.25,0,14,rpm,1388.75,,
0.25,0,15,rpm,1388.75,,
0.25,0,16,rpm,1388.75,,
0.5,-250,10,rpm,2527.5,,
0.5,0,14,rpm,2777.5,,
0.5,0,16,rpm,2777.5,,
1,0,1,rpm,5555,,
1,0,5,rpm,5555,,
1,-127,8,rpm,5428,,
1,0,8,rpm,5555,,
1,0,10,rpm,5555,,
1,0,11,rpm,5555,,
1,0,13,rpm,5555,,
1,0,14,rpm,5555,,
1,0,15,rpm,5555,,
1,-32768,16,rpm,-27213,,
1,0,16,rpm,5555,,
1,0,64,rpm,5555,,
2,0,11,rpm,11110,,
2,0,12,rpm,11110,,
2,0,13,rpm,11110,,
2.5,0,12,rpm,13887.5,,
4,0,6,rpm,22220,,
4,500,8,rpm,22720,,
4,0,11,rpm,22220,,
4,0,12,rpm,22220,,
4,0,16,rpm,22220,,
8,0,8,rpm,44440,,
8,0,10,rpm,44440,,
10,0,8,rpm,55550,,
10,500,8,rpm,56050,,
10,0,9,rpm,55550,,
20,0,8,rpm,111100,,
25,600,8,rpm,139475,,
25,2000,8,rpm,140875,,
25,0,10,rpm,138875,,
32,0,8,rpm,177760,,
50,0,8,rpm,277750,,
100,450,4,rpm,555950,,
250,500,5,rpm,1389250,,
250,1000,5,rpm,1389750,,
1,-512,10,rpm/20ms,5043,,
0.05,-25.6,10,rpm/ms,252.15,,
0.5,-2048,14,s,729.5,,
5.12E-05,0,16,s,0.284416,,
0.01,0,16,s,55.55,,
0.01,0,24,s,55.55,,
0.025,0,12,s,138.875,,
0.1,0,5,s,555.5,,
0.1,0,7,s,555.5,,
0.1,0,8,s,555.5,,
0.1,0,16,s,555.5,,
0.25,0,8,s,1388.75,,
1,0,6,s,5555,,
1,0,8,s,5555,,
1,0,16,s,5555,,
1,0,32,s,5555,,
20,0,8,s,111100,,
51.2,0,16,s,284416,,
1,0,2,s,5555,,
0.01,0,7,s,55.55,,
0.01,-1.26,8,s,54.29,,
0.0125,0,8,s,69.4375,,
0.1,0,4,s,555.5,,
0.1,-3276.8,16,s,-2721.3,,
1,-3276.8,16,s,2278.2,,
1,-134217727,28,s,-134212172,,
2,0,16,s,11110,,
4,0,15,s,22220,,
1,0,11,s,5555,,
1,-100,16,s,5455,,
1,0,17,s,5555,,
15,0,6,s,83325,,
1,0,16,s^0.5,5555,,
1,0,1,SED,5555,,
1,0,2,SED,5555,,
1,0,3,SED,5555,,
1,0,4,SED,5555,,
1,0,5,SED,5555,,
1,0,6,SED,5555,,
1,0,8,SED,5555,,
1,0,10,SED,5555,,
1,0,4,Segments,5555,,
1,0,1,SES,5555,,
0.1,0,12,speed,555.5,,
0.5,0,9,speed,2777.5,,
1,0,8,Speed limit,5555,,
1,0,4,Steps,5555,,
1,-10,5,Steps,5545,,
1,-10,6,Steps,5545,,
1,0,6,Steps,5555,,
1,0,8,Steps,5555,,
0.5,0,5,Steps,2777.5,,
1,0,3,Steps,5555,,
1,0,5,Steps,5555,,
1,-32,6,turns,5523,,
0.25,0,16,U/min,1388.75,,
1,0,7,U/min,5555,,
10,0,8,U/min,55550,,
25,0,8,U/min,138875,,
100,0,6,U/min,555500,,
100,0,8,U/min,555500,,
0.002,0,15,U/sec,11.11,,
0.128,0,16,ul,711.04,,
1,0,15,ul,5555,,
10,0,8,Umin,55550,,
4,0,12,upm,22220,,
0.002,0,11,uSec,11.11,,
0.04,0,8,usec,222.2,,
0.1,10.6,6,v,566.1,,
0.05,0.5,8,v,278.25,,
0.1,0,8,v,555.5,,
1,100,8,v,5655,,
0.000976563,3,14,v,8.424807465,,
0.001,1.5,12,v,7.055,,
0.001,6,14,v,11.555,,
0.00488,0,10,v,27.1084,,
0.004882813,0,10,v,27.12402622,,
0.00488759,0,10,v,27.15056245,,
0.0078125,0,32,v,43.3984375,,
0.01,5,10,v,60.55,,
0.01,0,13,v,55.55,,
0.019607843,0,8,v,108.9215679,,
0.025,0,10,v,138.875,,
0.05,5,8,v,282.75,,
0.05,0,9,v,277.75,,
0.05,-1605.625,16,v,-1327.875,,
0.05,0,16,v,277.75,,
0.0625,0,8,v,347.1875,,
0.1,0,3,v,555.5,,
0.1,0,7,v,555.5,,
0.1,15,8,v,570.5,,
0.1,25,8,v,580.5,,
0.1,0,10,v,555.5,,
0.1,0,13,v,555.5,,
0.1,0,16,v,555.5,,
0.1015625,0,8,v,564.1796875,,
0.101563,0,8,v,564.182465,,
0.125,0,12,v,694.375,,
0.2,0,8,v,1111,,
1,0,8,v,5555,,
1,0,9,v,5555,,
1,0,16,v,5555,,
2,0,8,v,11110,,
0.00125,0,12,v,6.94375,,
0.004887586,0,10,v,27.15054023,,
0.025,10.6,8,v,149.475,,
0.05,0,8,v,277.75,,
0.16,0,7,v,888.8,,
0.000976562,0,16,v,5.42480191,,
0.000976563,0,16,v,5.424807465,,
0.0196078,0,8,v,108.921329,,
0.05,6,8,v,283.75,,
0.0618,0,8,v,343.299,,
0.07843,0,8,v,435.67865,,
0.1,3,8,v,558.5,,
0.25,0,8,v,1388.75,,
0.1,0,6,V/s,555.5,,
0.1,0,8,V/s,555.5,,
1,-2000000000,32,VAr,-1999994445,,
1,0,3,Vent./Zyl.,5555,,
1,0,4,Vent./Zyl.,5555,,
50,0,8,W,277750,,
0.5,32,4,W,2809.5,,
1,-2000000000,32,W,-1999994445,,
2,0,16,W,11110,,
4,0,13,W,22220,,
10,0,8,W,55550,,
10,0,10,W,55550,,
20,-2560,8,W,108540,,
20,0,8,W,111100,,
50,0,7,W,277750,,
100,0,8,W,555500,,
50,-1600,6,W,276150,,
5,0,8,W/m^2,27775,,
3,0,8,W/m2,16665,,
1,-125,8,Weeks,5430,,
1,0,8,Yards,5555,,
1,2000,7,Year,7555,,
1,1,5,Year,5556,,
1,2010,5,Year,7565,,
1,2000,6,Year,7555,,
1,2000,8,Year,7555,,
1,0,7,Year,5555,,
1,0,8,Year,5555,,
1,1985,8,Year,7540,,
1,0,16,Year,5555,,
